STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,CATEGORY
Karnataka,218879,241591,240900,910229,982872,1005842,1102564,1241257,1480419,1355764,1916450,1930215,2110631,2466589,2519466,4072328,4337013,5206342,5699215,5957169,5658379,6211508,14260389,14333850,15308604,15493650,18205856,21570854,22044545,23067046,22317155,21049288,22651986,VALUE ADDED INDUSTRY
Kerala,127187,129142,142877,489549,548221,577035,574150,591660,645151,644172,1281386,1274968,1323354,1450851,1601588,2336941,2578548,2741765,2953522,2961328,3149786,3610561,8609559,8782043,9163934,9515165,10137461,11401635,12114828,12201824,11727543,10645491,11496058,VALUE ADDED INDUSTRY
Madhya Pradesh,267183,226906,264861,725355,795815,858035,889244,964828,1102150,1360350,1562914,1522270,1524524,1475953,1491067,2479821,2582011,3030108,3256737,3916114,4139480,4312637,7931058,7018466,7590128,7892179,9237897,9649420,10653378,13036303,12070425,11251478,12568931,VALUE ADDED INDUSTRY
Maharashtra,962850,959383,1036243,3223588,3277629,3754378,3819284,4326619,4163039,4307977,5964777,5323195,5169988,5629766,6209231,9892690,12227434,14191251,16007659,15365517,16561637,18936839,35134026,36614386,37755291,41074630,45677541,49030271,50411057,51772409,50390391,45424254,NA,VALUE ADDED INDUSTRY
Manipur,3226,3420,3700,17954,17211,19065,22055,22502,24871,31813,63200,55105,59906,67142,83248,169696,183000,186997,190732,195400,208250,172652,168524,155595,176024,228267,266930,247605,253180,160469,203245,202167,NA,VALUE ADDED INDUSTRY
Meghalaya,5324,5589,5374,19995,20700,23132,24639,27758,35609,36433,67736,77587,86518,84567,94738,144652,157370,179491,186705,220715,233003,256670,694289,645815,609634,464657,356123,332390,377065,360015,373807,363405,413575,VALUE ADDED INDUSTRY
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20557,21678,24907,28650,30989,36467,48253,48316,54304,65996,67323,70227,128291,122225,162553,178414,197578,221880,375061,322119,55868,36748,NA,VALUE ADDED INDUSTRY
Nagaland,7117,7088,10339,15314,17102,26030,28921,33750,23389,17938,34066,38501,45436,52989,55325,67207,79212,91110,100689,115597,121447,101592,137541,138650,106173,119146,154601,152003,181681,172769,178543,161858,NA,VALUE ADDED INDUSTRY
Odisha,101193,107156,111359,330627,374360,394382,337882,367245,423090,507971,835621,779136,712439,813024,918722,2069078,2018896,2459103,2743929,2850974,2358377,2408595,8073266,8050481,9254282,8369223,9529802,11549918,12762638,14430013,13125614,12745228,14630271,VALUE ADDED INDUSTRY
Puducherry,14756,12363,9076,24657,23569,20062,52369,84927,89719,84494,123976,154982,176533,196619,210817,241945,336880,312314,328210,352856,418602,392727,639846,604477,764905,589985,678410,728873,833988,1253830,1153462,1142330,1185141,VALUE ADDED INDUSTRY
Punjab,169364,173083,191097,536822,556496,603752,612720,684945,769602,739607,1241170,1289604,1246408,1272425,1365728,1980668,2166733,2730115,3184430,3301129,3637546,3872312,5304135,5423814,5640792,5931485,6360946,6827922,7196222,7559558,7735970,7679567,8221366,VALUE ADDED INDUSTRY
Rajasthan,168154,165010,187036,732724,881818,959393,943840,1174491,1235777,1397686,1857112,1736273,1769164,1883453,2110663,3205123,3517583,4167618,4210883,4439156,4868677,4996893,11968461,11638463,11473314,12536250,14866429,15685217,15998775,13605442,13077595,12300734,14210055,VALUE ADDED INDUSTRY
Sikkim,2208,2340,NA,7171,7173,8228,8962,9154,9322,10475,14619,18001,21065,23534,25964,43121,48987,52140,53844,66610,192821,233289,605871,589226,618522,685283,749485,814493,907869,962957,948105,906765,970026,VALUE ADDED INDUSTRY
Tamil Nadu,417832,381956,410305,1691630,1929472,2117181,2100888,2142983,2086634,2323341,3272082,3484362,3078323,3335226,3611111,5553241,6372872,7213311,7522175,7280656,8861896,10387787,21794938,23308260,22609747,22809286,27108377,30020471,32810688,35440181,35158830,34401553,37590656,VALUE ADDED INDUSTRY
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010903,2280813,2640583,2729902,3191729,3203593,3651431,8960274,8010472,7845226,7689295,9406207,9493511,10650779,12201937,11617794,10992835,12034881,VALUE ADDED INDUSTRY
Tripura,2716,2699,2755,14252,16367,18603,21174,26879,32952,39845,64009,99622,113332,123038,140580,185357,210973,235522,235124,257843,290064,299268,338790,394030,389584,685602,619844,735304,747547,841143,733864,687594,751349,VALUE ADDED INDUSTRY
Uttar Pradesh,463636,452631,453257,1405981,1584144,1665843,1920261,1874427,1739089,1827666,3082029,3144852,3100882,3342284,3565404,4993512,5460143,6225666,6596566,6821075,7408657,7967570,16201993,16667659,17858068,17420143,20177813,26847448,26510386,26424785,26301907,24618152,26189393,VALUE ADDED INDUSTRY
Uttarakhand,NA,NA,NA,124815,157413,124815,144881,133107,124739,118197,215130,280796,314898,375393,414603,597554,762959,881192,1070370,1130655,1309222,1522068,5013254,5469367,5924727,6262861,6759481,7517121,8083790,8155903,7849595,7494280,7780762,VALUE ADDED INDUSTRY
West Bengal,400640,422847,436347,1089409,1141338,1276904,1330268,1409576,1498341,1631639,1964996,2083948,2200432,2401248,2606643,3671855,3780224,4121105,4404258,4131501,4537639,4907912,11425737,11748792,12198449,11599207,12704832,15005150,16314026,18362677,19638436,19473260,NA,VALUE ADDED INDUSTRY
Andaman and Nicobar Islands,209,230,248,713,733,904,1798,1369,1593,1593,2161,2351,2557,2533,2442,3580,3864,4602,5700,6127,7968,9580,12572,10986,11829,12240,16468,14618,15702,16650,15835,NA,NA,VALUE ADDED BANK
Andhra Pradesh,70572,74072,70686,197759,229119,241559,271123,315250,364162,387704,545051,569360,675153,741013,752191,587454,674770,814643,991608,1196204,1298768,1515270,1403097,1536254,1623342,1775219,1880400,1938859,2105997,2610245,2698133,2839786,3134271,VALUE ADDED BANK
Arunachal Pradesh,344,410,410,989,1105,1223,1460,1660,1941,2031,3833,4615,4640,5330,5042,7377,9068,10212,13586,14255,16885,18291,20554,21275,22386,25687,28773,25918,23792,30077,34988,36520,NA,VALUE ADDED BANK
Assam,14716,13558,14222,41518,45092,50864,65371,74243,78140,89297,111737,113848,120134,137794,128896,158850,177975,217255,248612,278135,312698,376078,420333,440033,464052,469925,588643,605106,672579,680134,754883,772559,NA,VALUE ADDED BANK
Bihar,31726,31423,29569,56523,59550,64357,89007,123185,108240,107980,176689,195031,239592,229735,222453,254054,289353,346152,386183,415142,520146,623080,869974,941217,1009476,1145354,1202079,1131431,1313963,1790717,1863049,2033657,2223099,VALUE ADDED BANK
Chandigarh,NA,NA,NA,13190,20872,29014,33569,32878,29831,29682,50305,62741,70926,84246,83512,95423,111605,140592,159082,211314,267830,286935,281065,315035,336221,340785,337250,355732,318859,382919,392306,397530,NA,VALUE ADDED BANK
Chhattisgarh,NA,NA,NA,21243,23682,26840,34997,54649,40974,46122,65690,70356,72970,84533,84199,109306,132238,171152,196172,226694,290957,367228,529208,590866,646724,670413,757684,677144,726866,745250,786237,821865,NA,VALUE ADDED BANK
Delhi,56878,81745,77636,308105,336801,423621,593405,777577,756962,847273,1132556,1034322,1095415,1153637,1210782,1604252,1800417,2273736,2674892,3052345,3836489,4390521,5303210,5811414,6116374,6506996,6628969,7051013,6887399,7251302,7343722,7853026,8202783,VALUE ADDED BANK
Goa,3641,4102,3884,13120,15459,30291,44808,43469,38508,43581,52114,39529,41770,61520,58878,66929,75261,94097,110364,123961,140106,151379,170199,198185,197376,223331,234692,214601,231565,196102,193465,256892,NA,VALUE ADDED BANK
Gujarat,88779,96108,118405,322701,336945,385017,348875,392656,422643,518800,707600,584300,662300,776500,760600,1113100,1315800,1519100,1765500,1939900,1967900,2329803,2896275,3333444,3702984,3965726,4306343,4509693,5086519,5777674,6136760,6419051,NA,VALUE ADDED BANK
Haryana,NA,NA,NA,52188,57507,62493,88146,107927,105733,135976,185611,195195,205875,229888,226360,297988,370123,454794,542256,606690,698489,876622,1147252,1272448,1409245,1563737,1796281,1967791,1660365,2043504,2134229,2330439,2438863,VALUE ADDED BANK
Himachal Pradesh,5435,6242,6948,18487,20540,19744,22684,23630,25999,32446,53116,48004,50412,53423,55055,71855,86313,112188,130450,132530,169947,216094,282809,306678,299134,361982,387335,392701,316212,318329,321279,316460,329118,VALUE ADDED BANK
Jammu and Kashmir,4321,5102,5260,15276,15337,18548,19717,21568,23202,23626,56687,61452,65393,75525,75088,96705,111231,113600,135796,170197,183127,203086,222483,253994,307921,349907,412717,429271,342925,361848,396379,427099,448308,VALUE ADDED BANK
Jharkhand,NA,NA,NA,28197,26578,30801,47300,53310,57150,83031,64020,70666,86812,83241,80602,134787,154884,191716,225918,241575,291223,356127,407843,445363,458389,484056,596548,587352,612920,610395,647286,681894,722424,VALUE ADDED BANK
Karnataka,61912,65476,68509,187275,218489,244941,266060,317880,316271,370143,532885,564977,607966,709700,733090,1003298,1166413,1400382,1664870,1919887,2105808,2224667,2833927,3114742,3416595,3909744,4451354,4714268,4632325,4921672,5028349,5231088,5398036,VALUE ADDED BANK
Kerala,38505,36083,40324,111005,122968,141407,180090,168681,220560,248188,310564,330804,375065,464654,459414,594202,707455,828586,959981,1076139,1188831,1345154,1408254,1501329,1669300,1807803,2044108,2134932,2153266,2552054,2664612,2455647,2563532,VALUE ADDED BANK
Madhya Pradesh,53374,47250,45235,84380,93377,105319,138547,164406,160208,169623,265960,289994,300371,347902,348558,402691,477024,572631,645878,760780,917400,1138469,1568489,1679708,1821617,1861623,2120654,2029146,2050343,2068820,2083478,2102318,2180448,VALUE ADDED BANK
Maharashtra,2512567,362703,429539,1433591,1466071,1591516,1292515,1316809,1767598,2221908,2739434,2518030,2829045,3115420,3278656,4649880,5408113,6460245,7612821,8751278,9412759,10713978,11597555,12518415,14199386,15292917,16192760,17067427,17531616,17859042,18444601,19022918,NA,VALUE ADDED BANK
Manipur,642,725,639,1907,1594,1528,2142,2389,2415,2722,4443,5558,5368,6859,6683,9009,9771,11573,13023,12938,16446,21330,23030,24484,26801,27825,34431,35045,36825,45539,50742,56539,NA,VALUE ADDED BANK
Meghalaya,1101,1158,1183,2914,3351,3290,3872,5075,5469,5685,9565,11121,11328,13046,13641,17277,20160,22594,24657,27385,32141,38889,54943,54468,54513,60229,63757,65029,68849,59023,66648,70452,76972,VALUE ADDED BANK
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3761,4291,3967,6105,6270,7154,8163,9761,11156,12312,14275,14759,19736,18870,19341,25215,30849,26156,25875,30600,32514,32406,NA,VALUE ADDED BANK
Nagaland,806,825,778,1693,1704,1664,2124,2114,2205,1796,2919,4541,5500,5900,6399,8207,9925,13478,16082,15864,18959,23356,46948,51166,51342,54388,49425,49111,51608,54735,52709,64457,NA,VALUE ADDED BANK
Odisha,16329,16148,17945,46380,51033,53570,73467,84892,72928,89401,132475,144192,162841,187954,186042,247392,285485,341375,402532,471497,545177,686890,783729,882747,913891,1000968,1075954,1042827,1126984,1184551,1284902,1353314,1490486,VALUE ADDED BANK
Puducherry,1121,1359,1359,4149,3575,4332,4852,5520,6050,5424,9596,10793,10944,13494,13651,18680,22473,29313,33861,37247,44770,45123,58223,61594,62014,64872,76012,79880,85457,76647,90194,94405,100206,VALUE ADDED BANK
Punjab,35039,35242,35073,94480,103467,121856,169760,191562,178507,203148,289845,303240,317680,324214,349457,430621,503127,631468,715092,812614,943919,1120403,1441182,1524620,1578653,1623882,1697781,1762978,1853396,1955333,2054224,2041693,2109392,VALUE ADDED BANK
Rajasthan,30792,37165,38578,93599,98046,105077,134046,163236,167428,174124,242586,258896,285240,334046,335071,424978,501856,634851,732480,862347,955286,1119540,1342503,1449360,1625451,1782306,1822260,1864994,2459117,2669197,2827819,2785401,2896818,VALUE ADDED BANK
Sikkim,484,507,485,539,599,737,908,1003,1066,1324,1870,2261,2586,2953,3376,4406,5540,7149,8671,9118,11322,13883,16260,17037,17921,19224,36537,23738,23512,25181,31512,35025,41072,VALUE ADDED BANK
Tamil Nadu,71703,86047,93780,300833,334007,363510,508607,608332,585451,641706,934506,904802,958539,1115026,1167779,1558292,1834640,2187685,2564910,2828211,2914030,3343013,3956126,4331047,4840028,5330790,5463078,5596716,6251278,6482646,6681412,7005078,7477000,VALUE ADDED BANK
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399320,462802,576201,723076,901076,986655,1171638,2092928,2291698,2522425,2820426,3028584,3307997,3435938,3442332,3493459,3620748,4037134,VALUE ADDED BANK
Tripura,1511,1486,1469,3648,3967,4544,4996,5667,6158,6158,9722,10884,11383,13942,13330,15753,20729,24782,27979,30187,37489,45610,56201,64289,67995,80769,114469,92102,114823,92125,107381,111203,111333,VALUE ADDED BANK
Uttar Pradesh,112410,104939,97514,199362,217180,224453,319743,399398,350834,368376,560621,598351,642632,739248,731822,938977,1081096,1326719,1487575,1725283,2031710,2349867,2478434,2731371,2979637,3308676,3583432,3531227,4016236,4096746,4286953,4397838,4655203,VALUE ADDED BANK
Uttarakhand,NA,NA,NA,24356,26533,27422,39063,48794,42839,44981,43558,46489,49929,57436,56859,92020,111642,135377,160593,188327,215684,263173,288686,310724,340602,378073,407217,412502,447682,460851,479203,570209,591763,VALUE ADDED BANK
West Bengal,98505,105710,115245,280516,355823,466589,526560,542289,754812,792552,922853,906565,937450,954401,958884,1277501,1462326,1758555,2051368,2153637,2330259,2578590,3144514,3423528,3242476,3462129,3688429,3836316,3992632,3991783,4137341,3341708,NA,VALUE ADDED BANK
Andaman and Nicobar Islands,2350,1776,1782,17742,19172,19284,21202,24891,25922,28911,47640,47633,49520,52588,55857,92010,98319,100385,108049,154305,189089,208189,231097,241272,251774,276135,288934,338021,365109,382776,392595,NA,NA,VALUE ADDED SERVICE
Andhra Pradesh,585409,630342,621661,2232027,2392129,2540774,2733517,2865761,3117912,3404893,5635910,6087892,6560403,6984928,7539377,6079358,6642281,7454576,8192765,8615775,9379082,10564596,12736119,13891379,14805713,16203607,18263190,18413851,19753570,20599173,22229768,22532786,24691911,VALUE ADDED SERVICE
Arunachal Pradesh,7454,8588,8794,24607,24390,26859,28563,36099,36937,39692,68923,74074,77385,81310,85822,104726,112272,121691,131050,148284,199327,183566,376186,379840,416585,432250,464178,516955,566165,562640,644861,646471,NA,VALUE ADDED SERVICE
Assam,151966,163397,167539,520135,534401,562120,594454,560914,585742,648612,1475105,1573401,1628618,1730074,1848700,2259465,2441915,2645712,2839913,3026874,3326220,3590033,5700473,5819477,6155961,6614944,6812712,6759161,7579374,7391621,7934466,7065075,NA,VALUE ADDED SERVICE
Bihar,310755,309202,321636,829402,903511,834254,990636,1058615,1092255,1209186,2474049,2693195,2840599,2985804,3025999,3883482,3902208,4391085,4788532,5381630,6039454,6640782,12415073,13333941,13699956,14005341,15129685,15812967,17603313,20119687,20956856,19189180,21760934,VALUE ADDED SERVICE
Chandigarh,NA,NA,NA,97150,105453,119426,136208,143980,153724,167927,303325,347915,382165,421258,464286,623446,695862,769725,834731,967166,995571,1004070,1459440,1596580,1712991,1800407,1912173,2088977,2153895,2239908,2348469,2034927,NA,VALUE ADDED SERVICE
Chhattisgarh,NA,NA,NA,372286,383572,414170,438736,466492,476090,521939,1014017,1027526,1104511,1131919,1215883,1521110,1614275,1805233,1985402,2220207,2425566,2807124,4653885,4852575,5241260,5436910,5753939,6037576,6048066,6524672,7049502,7120742,NA,VALUE ADDED SERVICE
Delhi,341720,401035,420892,1345343,1516980,1662540,1948649,2247947,2354894,2537938,4153278,4266134,4514001,4785482,5117647,7724546,8609081,9802344,11078830,12623831,13836069,15176248,23008302,24175556,25535827,28756150,30957742,32971828,34562405,36250140,38048071,35386076,37718532,VALUE ADDED SERVICE
Goa,27704,26677,28410,93451,107500,120968,143724,143080,173507,167749,288145,261057,270517,286560,302034,517611,553995,614421,662857,760822,844446,1073009,1069204,1084472,1106697,1210776,1336102,1409120,1443588,1496633,1537465,1437507,NA,VALUE ADDED SERVICE
Gujarat,409387,416766,464668,1695202,1848838,2033672,2159178,2444252,2628442,2915900,4140000,4158200,4519600,4901200,5304200,8047000,9055700,10079800,11319700,12230500,13543700,15459819,18124377,20429173,21423723,23255014,24998108,26855783,29580633,33525149,35663289,34681005,NA,VALUE ADDED SERVICE
Haryana,NA,NA,NA,617452,649534,697505,822624,893924,952302,1072507,1898210,2173115,2436773,2684864,2954639,3904929,4513306,5034681,5735067,6411228,7520221,8215903,11144751,12296567,13460143,14808728,16397214,17757958,18693338,20081373,21074510,19609752,21585637,VALUE ADDED SERVICE
Himachal Pradesh,41767,43083,45683,164550,169389,178638,190657,214796,241026,291904,491281,499326,513924,536407,562571,777375,859124,949047,1013724,1103892,1237164,1351882,2307541,2499391,2615530,2880459,3086925,3255619,3404690,3502183,3653837,3694907,3902542,VALUE ADDED SERVICE
Jammu and Kashmir,60782,63722,68664,246877,249058,273615,292923,323131,340412,364233,625543,656744,648518,710470,736702,986288,1060713,1144147,1265272,1408396,1527454,1670613,3353049,3521896,3654922,3734752,4118168,4186373,4281799,4725939,4613922,4371732,5110269,VALUE ADDED SERVICE
Jharkhand,NA,NA,NA,392439,401839,413908,403063,479676,548071,496814,1129539,1202721,1255793,1226570,1301666,1789171,1940662,2116111,2383619,2582650,3149494,3577800,4762065,5078126,5333434,5901224,6295219,6634352,7243770,7930948,8483560,7590624,8191305,VALUE ADDED SERVICE
Karnataka,377169,410828,422694,1401726,1532693,1686550,1899022,2087502,2315069,2546281,4201442,4465731,4779359,5122093,5565608,7900416,8868684,9813636,11189829,12315173,12489391,13575972,28890822,31982298,35406759,37821154,42624200,47145464,49156337,53660573,58999150,58099894,63561983,VALUE ADDED SERVICE
Kerala,210971,213187,237165,1131766,1203232,1291606,1376377,1468074,1592305,1790142,3551861,3695435,3942350,4265404,4596998,6415349,7183128,8083010,8986199,9702264,10880674,11568172,17390244,19042424,20439675,21507602,23021095,24479104,26083395,28037154,29602827,26878051,28584826,VALUE ADDED SERVICE
Madhya Pradesh,340105,357080,358662,1211533,1228764,1336577,1468074,1565043,1696183,1804057,3414779,3497066,3567425,3655391,3761288,4609330,4803542,5246919,5636195,6211627,6963469,7599543,10496152,11502940,11942912,12595041,13627029,14565098,15481126,16894768,17687628,16398488,17946309,VALUE ADDED SERVICE
Maharashtra,1154340,1266201,1415304,4846243,5026893,5604378,5643791,6169059,6696059,7613228,12045540,12203711,12902043,13854532,14679982,22575501,25616460,28810160,31840110,34257356,38318643,41671411,49597229,53667808,57457612,62593309,67373230,73248349,77192217,81429500,86479796,79049430,NA,VALUE ADDED SERVICE
Manipur,16373,17892,19416,52963,52649,54594,60200,66204,65039,77084,149230,135043,144589,139154,141431,175158,191131,196732,208206,228580,234399,284209,732298,741172,782415,841498,904354,935231,973643,993060,1107262,1171057,NA,VALUE ADDED SERVICE
Meghalaya,16480,17614,17710,73434,76198,83352,84242,90868,99263,106991,176466,183253,194673,202108,213778,296957,322901,346720,362932,413026,448500,506462,745123,788986,832210,871415,955301,1028875,1104337,1227638,1310271,1176446,1285949,VALUE ADDED SERVICE
Mizoram,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86837,93673,99689,109874,113625,144588,149771,161391,175874,199619,230755,284520,385729,435825,455500,480512,538159,587481,634596,677886,825995,750018,NA,VALUE ADDED SERVICE
Nagaland,9739,10128,10623,77433,81453,85085,88141,90523,90402,90720,150477,166255,181405,193242,201201,280690,319825,352500,394157,405917,436230,511674,579119,620205,688216,716396,723546,761140,807890,942066,935302,908556,NA,VALUE ADDED SERVICE
Odisha,163291,186278,191418,571608,615880,663366,684491,763184,779732,876590,1761889,1820472,1923858,2044166,2248994,3012719,3307083,3720649,4041234,4559293,4978904,5497106,7618428,8175433,8674317,9371877,10280452,10605974,11506897,11695631,12499098,11001960,12066657,VALUE ADDED SERVICE
Puducherry,7406,7943,8206,43471,44212,52193,55455,61766,74962,84049,142821,152733,154394,170661,173062,233057,273381,319033,356255,381932,465448,543371,612217,657258,659460,701973,709818,766237,807587,808675,860782,796587,860554,VALUE ADDED SERVICE
Punjab,218586,221088,231371,864740,887017,946216,1053102,1137652,1194329,1296567,2432929,2557156,2669296,2790741,2962698,3651317,3866620,4197240,4501875,4925511,5355167,5870616,9822918,10654158,11298297,12225937,13059152,13894617,14779186,15787886,16684131,15692503,17045420,VALUE ADDED SERVICE
Rajasthan,278678,275982,302521,1145393,1249916,1350699,1505490,1697454,1842936,1904585,3207319,3243682,3430377,3339461,3785926,5010413,5457405,5989712,6523856,7341731,7921376,8929495,14573542,15829410,16979552,18391587,19127580,20016124,22123979,24315797,24997679,23638800,26465637,VALUE ADDED SERVICE
Sikkim,5182,5862,NA,15659,16044,17399,18819,21470,28266,28195,44550,44925,47200,50176,53647,79608,87665,93721,100734,110134,138032,132975,261541,292049,310465,325216,347101,348632,363129,402092,485319,493186,539655,VALUE ADDED SERVICE
Tamil Nadu,540169,577145,608137,2148367,2385721,2589268,2863124,3258366,3448898,3718552,6563683,6913148,7138986,7426776,7975692,11554853,13226643,15503071,16949089,18719161,19979665,22570547,31466701,33587956,36233938,39200259,40754573,43128416,45572834,48070140,49832804,49267469,52551948,VALUE ADDED SERVICE
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4456919,5097782,5779907,6419711,7362540,7686807,9137082,16079475,17390421,18740316,21086218,23455209,25934741,27674934,29755245,31355923,28428828,32196322,VALUE ADDED SERVICE
Tripura,22641,24660,26887,87107,87249,93824,105629,119777,128749,138919,249043,255598,279789,306290,314247,418568,440680,473988,494827,558830,628618,683479,869582,927289,1004917,1066425,973585,1101734,1341939,1448390,1583359,1489553,1616445,VALUE ADDED SERVICE
Uttar Pradesh,841016,834720,881492,2771507,2874984,2990982,3292770,3435332,3527179,3729865,6831161,7065933,7326608,7625959,8071075,10934619,11665873,12690412,13788889,15432258,16821930,18534426,27165414,28828503,30683107,33275880,35716307,37309786,40481960,42387602,45068406,40983986,42792536,VALUE ADDED SERVICE
Uttarakhand,NA,NA,NA,182940,187042,197899,216307,234428,239172,249184,562714,614701,662580,707498,764734,1124968,1296356,1463413,1765873,2088278,2495631,2721362,3270063,3492371,3786503,4214852,4653928,5059602,5546983,5746960,6024815,5583897,6208428,VALUE ADDED SERVICE
West Bengal,598348,631390,661092,2071166,2219269,2431068,2653160,2906571,3301956,3599792,6588468,6939854,7418607,7808401,8311409,10583013,11569723,12730509,13849540,15226878,16386292,17765400,22526511,23758138,24616747,26149569,27641207,28846700,31008440,32471068,34860637,35159462,NA,VALUE ADDED SERVICE
